#threads, exec_time, speedup
1S, 0.684120, 1
1, 0.304225, 2.248730
2, 0.200977, 3.403971
3, 0.151039, 4.529426
4, 0.150725, 4.538862
5, 0.132338, 5.169490
6, 0.126601, 5.403748
7, 0.099564, 6.871158
8, 0.112971, 6.055713
9, 0.112109, 6.102275
10, 0.120844, 5.661183
11, 0.119092, 5.744466
12, 0.134031, 5.104192
13, 0.132468, 5.164417
14, 0.118528, 5.771800
15, 0.159880, 4.278959
16, 0.134571, 5.083710
