#threads, exec_time, speedup
1S, 1.395861, 1
1, 0.678088, 2.058524
2, 0.377054, 3.702018
3, 0.272142, 5.129164
4, 0.270178, 5.166449
5, 0.246422, 5.664514
6, 0.207813, 6.716908
7, 0.234340, 5.956563
8, 0.182293, 7.657238
9, 0.213951, 6.524208
10, 0.224495, 6.217782
11, 0.236700, 5.897173
12, 0.249794, 5.588048
13, 0.238018, 5.864518
14, 0.242761, 5.749939
15, 0.229908, 6.071389
16, 0.239280, 5.833588
