#threads, exec_time, speedup
1S, 0.047046, 1
1, 0.028107, 1.673817
2, 0.012775, 3.682661
3, 0.013511, 3.482051
4, 0.011571, 4.065854
5, 0.011953, 3.935915
6, 0.011182, 4.207297
7, 0.009306, 5.055448
8, 0.012725, 3.697131
9, 0.016856, 2.791053
10, 0.011836, 3.974822
11, 0.013615, 3.455453
12, 0.011556, 4.071131
13, 0.011388, 4.131190
14, 0.013983, 3.364514
15, 0.012478, 3.770315
16, 0.014066, 3.344660
