#threads, exec_time, speedup
1S, 21.28087, 1
1, 10.48318, 2.030001
2, 5.687120, 3.741941
3, 4.039758, 5.267857
4, 3.155103, 6.744904
5, 2.795150, 7.613498
6, 2.802437, 7.593701
7, 2.273716, 9.359511
8, 2.312584, 9.202204
9, 2.378822, 8.945969
10, 2.372207, 8.970916
11, 2.195746, 9.691863
12, 2.348843, 9.060150
13, 2.708947, 7.855772
14, 2.729438, 7.796795
15, 2.918026, 7.292899
16, 3.011806, 7.065816
