#threads, exec_time, speedup
1S, 2.566237, 1
1, 1.181738, 2.171578
2, 0.625824, 4.100573
3, 0.468007, 5.483330
4, 0.401116, 6.397742
5, 0.338629, 7.578314
6, 0.260337, 9.857365
7, 0.313098, 8.196274
8, 0.275642, 9.310036
9, 0.326655, 7.856108
10, 0.266857, 9.616524
11, 0.286018, 8.972291
12, 0.325594, 7.881708
13, 0.311509, 8.238083
14, 0.337665, 7.599949
15, 0.355591, 7.216822
16, 0.327635, 7.832609
