#threads, exec_time, speedup
1, 0.077535, .959192
2, 0.043997, 1.690365
3, 0.034866, 2.133052
4, 0.029676, 2.506099
5, 0.026793, 2.775762
6, 0.026573, 2.798743
7, 0.025226, 2.948188
8, 0.027132, 2.741080
9, 0.021422, 3.471711
10, 0.034933, 2.128961
11, 0.024332, 3.056509
12, 0.031394, 2.368955
13, 0.025964, 2.864389
14, 0.030347, 2.450687
15, 0.029003, 2.564251
16, 0.023365, 3.183008
17, 0.026377, 2.819539
18, 0.030290, 2.455298
