#threads, exec_time, speedup
1S, 0.188010, 1
1, 0.099211, 1.895051
2, 0.050546, 3.719582
3, 0.040907, 4.596034
4, 0.043767, 4.295702
5, 0.039882, 4.714156
6, 0.040789, 4.609330
7, 0.036967, 5.085887
8, 0.033962, 5.535893
9, 0.039176, 4.799111
10, 0.035692, 5.267566
11, 0.049785, 3.776438
12, 0.048122, 3.906944
13, 0.047963, 3.919896
14, 0.049000, 3.836938
15, 0.042532, 4.420436
16, 0.044505, 4.224469
