#threads, exec_time, speedup
1S, 0.061540, 1
1, 0.032067, 1.919106
2, 0.020211, 3.044876
3, 0.014422, 4.267091
4, 0.016782, 3.667024
5, 0.011260, 5.465364
6, 0.011026, 5.581353
7, 0.010882, 5.655210
8, 0.011817, 5.207751
9, 0.009429, 6.526673
10, 0.013894, 4.429250
11, 0.014785, 4.162326
12, 0.013262, 4.640325
13, 0.015927, 3.863878
14, 0.014715, 4.182127
15, 0.016021, 3.841208
16, 0.014650, 4.200682
